freq_hz,pre_db,post_db,delta_db
4593.750000,-42.164120,-32.920181,9.243938
4605.468750,-41.838169,-37.499954,4.338215
4617.187500,-44.022057,-43.545044,0.477013
4628.906250,-56.796608,-46.940460,9.856148
4640.625000,-48.993038,-40.874084,8.118954
4652.343750,-44.093246,-38.314232,5.779015
4664.062500,-46.912102,-42.191811,4.720291
4675.781250,-53.785751,-42.371132,11.414619
4687.500000,-41.154190,-42.535534,-1.381344
4699.218750,-37.999950,-34.367340,3.632610
4710.937500,-41.388248,-31.699593,9.688656
4722.656250,-46.160679,-34.916286,11.244392
4734.375000,-42.847267,-35.169899,7.677368
4746.093750,-42.048985,-40.542603,1.506382
4757.812500,-40.707314,-45.964924,-5.257610
4769.531250,-43.536850,-39.884800,3.652050
4781.250000,-39.473312,-51.354465,-11.881153
4792.968750,-38.572601,-36.562702,2.009899
4804.687500,-50.528339,-34.304317,16.224022
4816.406250,-39.772953,-41.159245,-1.386292
4828.125000,-37.991859,-41.902657,-3.910797
4839.843750,-37.628872,-40.006790,-2.377918
4851.562500,-47.110008,-34.055801,13.054207
4863.281250,-47.899872,-34.109520,13.790352
4875.000000,-42.964615,-39.345356,3.619259
4886.718750,-40.898575,-54.374146,-13.475571
4898.437500,-48.113140,-41.988831,6.124310
4910.156250,-47.224724,-44.875851,2.348873
4921.875000,-49.566292,-44.632587,4.933704
4933.593750,-46.524040,-40.704212,5.819828
4945.312500,-43.338890,-39.528942,3.809948
4957.031250,-40.088501,-37.557102,2.531399
4968.750000,-48.568878,-37.735199,10.833679
4980.468750,-45.421505,-44.010132,1.411373
4992.187500,-50.604401,-40.943962,9.660439
