label,mode,folder,fs,pre_ms,lead_ms,post_ms,peak,clip,rms_pre,rms_post,snr_proxy_db,onset_sample,onset_ms_est,onset_minus_enter_ms,flags,moved_to
a3,stress,a3\rep002_20251219-234840,48000,300,0,400,0.125396728515625,0,0.004326871130615473,0.03416047245264053,17.946996405648697,15600,325.0,25.0,,
a3,stress,a3\rep003_20251219-234843,48000,300,0,400,0.11907958984375,0,0.0026404496748000383,0.03314528241753578,21.974873558005914,15360,320.0,20.0,,
a3,stress,a3\rep004_20251219-234850,48000,300,0,400,0.12286376953125,0,0.0029186259489506483,0.03450439125299454,21.453915882644523,14640,305.0,5.0,,
a4,stress,a4\rep001_20251219-235205,48000,300,0,400,0.095428466796875,0,0.005296915769577026,0.017833787947893143,10.544409476024335,15600,325.0,25.0,,
a4,stress,a4\rep002_20251219-235211,48000,300,0,400,0.096160888671875,0,0.003555468749254942,0.017582247033715248,13.883548289226784,14880,310.0,10.0,,
a4,stress,a4\rep003_20251219-235215,48000,300,0,400,0.1011962890625,0,0.0033788238652050495,0.01892561838030815,14.965688400899296,14640,305.0,5.0,,
a4,stress,a4\rep004_20251219-235218,48000,300,0,400,0.0965576171875,0,0.0048348805867135525,0.018400415778160095,11.608836361028224,14640,305.0,5.0,,
a5,stress,a5\rep001_20251219-235543,48000,300,0,400,0.09112548828125,0,0.0021938548889011145,0.020039070397615433,19.213389932185446,16320,340.0,40.0,,
a5,stress,a5\rep002_20251219-235546,48000,300,0,400,0.11444091796875,0,0.00281618838198483,0.025315098464488983,19.074355627588535,16320,340.0,40.0,,
a5,stress,a5\rep003_20251219-235550,48000,300,0,400,0.14398193359375,0,0.001993244281038642,0.03167609125375748,24.023417091083026,14640,305.0,5.0,,
a5,stress,a5\rep004_20251219-235554,48000,300,0,400,0.112945556640625,0,0.0018357494845986366,0.025110937654972076,22.72098591119292,15840,330.0,30.0,,
a5,stress,a5\rep005_20251219-235557,48000,300,0,400,0.154541015625,0,0.0018326921854168177,0.03229406103491783,24.920658203901883,14400,300.0,0.0,,
a5,stress,a5\rep006_20251220-000824,48000,300,0,400,0.137786865234375,0,0.001679465640336275,0.029637670144438744,24.933453861759386,15600,325.0,25.0,,
a5,stress,a5\rep007_20251220-000828,48000,300,0,400,0.117156982421875,0,0.0012950977543368936,0.023244962096214294,25.080519507458945,15840,330.0,30.0,,
a5,stress,a5\rep008_20251220-000831,48000,300,0,400,0.152496337890625,0,0.0011706567602232099,0.031043417751789093,28.470791896956538,15840,330.0,30.0,,
a6,stress,a6\rep001_20251219-235955,48000,300,0,400,0.0455322265625,0,0.0008839727961458266,0.008732523769140244,19.89400869699203,16080,335.0,35.0,,
a6,stress,a6\rep002_20251220-000003,48000,300,0,400,0.043487548828125,0,0.0006437014089897275,0.008404773660004139,22.316818792991654,14880,310.0,10.0,,
a7,stress,a7\rep001_20251220-000415,48000,300,0,400,0.07208251953125,0,0.0009741479298099875,0.010771344415843487,20.87289190662585,15360,320.0,20.0,,
a7,stress,a7\rep002_20251220-000418,48000,300,0,400,0.068878173828125,0,0.0008419445366598666,0.00928069744259119,20.84593324791516,14880,310.0,10.0,,
a7,stress,a7\rep003_20251220-000422,48000,300,0,400,0.048492431640625,0,0.0007401184993796051,0.006048912648111582,18.247510766826174,14880,310.0,10.0,,
a7,stress,a7\rep004_20251220-000425,48000,300,0,400,0.066253662109375,0,0.0009429471101611853,0.009034542366862297,19.628368249031148,14640,305.0,5.0,,
b0,stress,b0\rep001_20251219-231735,48000,300,0,400,0.08282470703125,0,0.00224210019223392,0.021279195323586464,19.546000236182422,16560,345.0,45.0,,
b1,stress,b1\rep001_20251219-232219,48000,300,0,400,0.113739013671875,0,0.004393777810037136,0.03392742574214935,17.754254627447605,15600,325.0,25.0,,
b1,stress,b1\rep002_20251219-232222,48000,300,0,400,0.11114501953125,0,0.001908654347062111,0.029827365651726723,23.87774798957777,15840,330.0,30.0,,
b1,stress,b1\rep003_20251219-232226,48000,300,0,400,0.130462646484375,0,0.0036695366725325584,0.030413033440709114,18.36896806208242,16080,335.0,35.0,,
b1,stress,b1\rep004_20251219-232229,48000,300,0,400,0.113739013671875,0,0.002553456462919712,0.03238968178629875,22.06556134383488,15840,330.0,30.0,,
b1,stress,b1\rep005_20251219-232234,48000,300,0,400,0.0877685546875,0,0.0033050577621906996,0.024067256599664688,17.244948419424787,16320,340.0,40.0,,
b2,stress,b2\rep001_20251219-234441,48000,300,0,400,0.153656005859375,0,0.004356271121650934,0.035856619477272034,18.30908707232085,15840,330.0,30.0,,
b2,stress,b2\rep002_20251219-234445,48000,300,0,400,0.12591552734375,0,0.0029085783753544092,0.03442080318927765,21.46280185016888,16080,335.0,35.0,,
b2,stress,b2\rep003_20251219-234455,48000,300,0,400,0.0831298828125,0,0.008418820798397064,0.026949943974614143,10.10613131825603,16320,340.0,40.0,,
b3,stress,b3\rep001_20251219-234914,48000,300,0,400,0.1201171875,0,0.004965957719832659,0.029146267101168633,15.37159700650525,14880,310.0,10.0,,
b3,stress,b3\rep002_20251219-234917,48000,300,0,400,0.11602783203125,0,0.00462668901309371,0.027618523687124252,15.518601461256207,15600,325.0,25.0,,
b3,stress,b3\rep003_20251219-234921,48000,300,0,400,0.131866455078125,0,0.004604575224220753,0.032328881323337555,16.928020474513733,15360,320.0,20.0,,
b3,stress,b3\rep004_20251219-234924,48000,300,0,400,0.12237548828125,0,0.0038425899110734463,0.029764752835035324,17.781562879140253,14640,305.0,5.0,,
b3,stress,b3\rep005_20251219-234927,48000,300,0,400,0.11260986328125,0,0.0016649754252284765,0.026718992739915848,24.108240191946464,14880,310.0,10.0,,
b4,stress,b4\rep001_20251219-235244,48000,300,0,400,0.113983154296875,0,0.004576084669679403,0.023492513224482536,14.208707042527532,15840,330.0,30.0,,
b4,stress,b4\rep002_20251219-235247,48000,300,0,400,0.133056640625,0,0.0030586146749556065,0.02564995177090168,18.471233197827516,15600,325.0,25.0,,
b4,stress,b4\rep003_20251219-235250,48000,300,0,400,0.167510986328125,0,0.0059327478520572186,0.033587221056222916,15.058362431599457,14400,300.0,0.0,,
b4,stress,b4\rep004_20251219-235253,48000,300,0,400,0.145111083984375,0,0.003080231137573719,0.02772863768041134,19.08690201876081,15600,325.0,25.0,,
b4,stress,b4\rep005_20251219-235256,48000,300,0,400,0.14031982421875,0,0.004423853475600481,0.028014082461595535,16.03151171901991,15840,330.0,30.0,,
b5,stress,b5\rep001_20251219-235620,48000,300,0,400,0.0791015625,0,0.002614659257233143,0.01573585346341133,15.589501291755122,16080,335.0,35.0,,
b5,stress,b5\rep002_20251219-235624,48000,300,0,400,0.074676513671875,0,0.001496642827987671,0.014529107138514519,19.74240994303956,15840,330.0,30.0,,
b5,stress,b5\rep003_20251219-235627,48000,300,0,400,0.0609130859375,0,0.0026135777588933706,0.0118479672819376,13.128165819822176,15360,320.0,20.0,,
b5,stress,b5\rep004_20251219-235630,48000,300,0,400,0.085357666015625,0,0.0023589455522596836,0.01565428636968136,16.438304020463782,15840,330.0,30.0,,
b5,stress,b5\rep005_20251220-000746,48000,300,0,400,0.078582763671875,0,0.0007750473450869322,0.01719384454190731,26.920884554528925,16080,335.0,35.0,,
b5,stress,b5\rep006_20251220-000751,48000,300,0,400,0.064422607421875,0,0.0017637306591495872,0.013899603858590126,17.93139887185728,16080,335.0,35.0,,
b5,stress,b5\rep007_20251220-000756,48000,300,0,400,0.090789794921875,0,0.002210458042100072,0.019916238263249397,19.094497256132353,16080,335.0,35.0,,
b6,stress,b6\rep001_20251220-000028,48000,300,0,400,0.071441650390625,0,0.004114540293812752,0.01629173755645752,11.952920135774336,15360,320.0,20.0,,
b6,stress,b6\rep002_20251220-000031,48000,300,0,400,0.115203857421875,0,0.0038355274591594934,0.022940954193472862,15.535725743435,15120,315.0,15.0,,
b6,stress,b6\rep003_20251220-000035,48000,300,0,400,0.069549560546875,0,0.003300426760688424,0.01498412061482668,13.14122115618444,15360,320.0,20.0,,
b6,stress,b6\rep004_20251220-000043,48000,300,0,400,0.075653076171875,0,0.003958804998546839,0.017329150810837746,12.824261733794447,16080,335.0,35.0,,
c#1,stress,c#1\rep001_20251219-231819,48000,300,0,400,0.124664306640625,0,0.006689824163913727,0.02648613415658474,11.952076461959303,15840,330.0,30.0,,
c#1,stress,c#1\rep002_20251219-231822,48000,300,0,400,0.087677001953125,0,0.006286256946623325,0.023764239624142647,11.550634870619568,16320,340.0,40.0,,
c#1,stress,c#1\rep003_20251219-231828,48000,300,0,400,0.106597900390625,0,0.007999907247722149,0.025491952896118164,10.06636236666817,16320,340.0,40.0,,
c#2,stress,c#2\rep001_20251219-232254,48000,300,0,400,0.12799072265625,0,0.003619158873334527,0.03181667998433113,18.880942106408018,15840,330.0,30.0,,
c#2,stress,c#2\rep002_20251219-232258,48000,300,0,400,0.1317138671875,0,0.003318153088912368,0.033970192074775696,20.20402930540664,15600,325.0,25.0,,
c#2,stress,c#2\rep003_20251219-232301,48000,300,0,400,0.130462646484375,0,0.003975173458456993,0.03104676678776741,17.853204002227145,15360,320.0,20.0,,
c#2,stress,c#2\rep004_20251219-232304,48000,300,0,400,0.13873291015625,0,0.0040889098308980465,0.03243865817785263,17.98910509970772,15600,325.0,25.0,,
c#3,stress,c#3\rep001_20251219-234527,48000,300,0,400,0.146514892578125,0,0.004954206291586161,0.034500546753406525,16.857036321997086,15600,325.0,25.0,,
c#3,stress,c#3\rep002_20251219-234531,48000,300,0,400,0.152801513671875,0,0.007358630653470755,0.03942076489329338,14.578559870713427,15600,325.0,25.0,,
c#4,stress,c#4\rep001_20251219-234946,48000,300,0,400,0.1544189453125,0,0.004221959505230188,0.031658537685871124,17.499533964438044,14880,310.0,10.0,,
c#4,stress,c#4\rep002_20251219-234950,48000,300,0,400,0.155487060546875,0,0.006261245813220739,0.03164641931653023,14.073275365493556,14640,305.0,5.0,,
c#4,stress,c#4\rep003_20251219-234953,48000,300,0,400,0.142730712890625,0,0.003819984383881092,0.028307344764471054,17.396748969742816,15120,315.0,15.0,,
c#4,stress,c#4\rep004_20251219-234956,48000,300,0,400,0.130462646484375,0,0.003123375354334712,0.027703382074832916,18.95816978480568,14400,300.0,0.0,,
c#4,stress,c#4\rep005_20251219-234959,48000,300,0,400,0.12591552734375,0,0.001976564060896635,0.01977452076971531,20.003897500687753,14880,310.0,10.0,,
c#5,stress,c#5\rep001_20251219-235322,48000,300,0,400,0.118011474609375,0,0.0017841457156464458,0.0362539179623127,26.158487896384628,15600,325.0,25.0,,
c#5,stress,c#5\rep002_20251219-235325,48000,300,0,400,0.109039306640625,0,0.003676776075735688,0.03426331281661987,19.387241294377773,15840,330.0,30.0,,
c#5,stress,c#5\rep003_20251219-235329,48000,300,0,400,0.142578125,0,0.0025665615685284138,0.042313504964113235,24.342543099893263,14880,310.0,10.0,,
